step,critic_score_mean,response_length_mean,response_length_clip_ratio
1,0.005859375,230.5419921875,0.57421875
2,0.0078125,232.091796875,0.59765625
3,0.01171875,228.9111328125,0.568359375
4,0.0126953125,233.630859375,0.6103515625
5,0.0087890625,228.130859375,0.572265625
6,0.015625,229.787109375,0.58984375
7,0.0205078125,233.2021484375,0.623046875
8,0.0341796875,224.2373046875,0.546875
9,0.05078125,221.9189453125,0.548828125
10,0.09765625,210.013671875,0.4599609375
11,0.1953125,200.16015625,0.3681640625
12,0.27734375,196.4541015625,0.369140625
13,0.3212890625,198.71875,0.4111328125
14,0.2685546875,206.3251953125,0.5390625
15,0.2607421875,215.1015625,0.62890625
16,0.169921875,229.6630859375,0.7724609375
17,0.099609375,238.150390625,0.8525390625
18,0.0810546875,240.384765625,0.8779296875
19,0.072265625,242.591796875,0.900390625
20,0.0859375,242.0986328125,0.892578125
21,0.103515625,240.853515625,0.8740234375
22,0.08984375,241.5673828125,0.88671875
23,0.0556640625,247.6572265625,0.9296875
24,0.06640625,246.0107421875,0.9208984375
25,0.0419921875,249.0244140625,0.9453125
26,0.0400390625,249.4658203125,0.9501953125
27,0.0439453125,247.53125,0.9365234375
28,0.0732421875,243.890625,0.908203125
29,0.0478515625,248.5966796875,0.9423828125
30,0.0166015625,250.759765625,0.9638671875
31,0.0244140625,252.0078125,0.96875
32,0.029296875,250.017578125,0.9599609375
33,0.037109375,248.224609375,0.9462890625
34,0.0126953125,252.427734375,0.9755859375
35,0.0107421875,253.189453125,0.9775390625
36,0.0029296875,254.455078125,0.9853515625
37,0.0078125,252.9765625,0.98046875
38,0.0029296875,254.2666015625,0.990234375
39,0.00390625,253.314453125,0.98046875
40,0.0009765625,254.2529296875,0.9892578125
41,0.0048828125,253.8984375,0.9853515625
42,0.01953125,252.0693359375,0.9716796875
43,0.0126953125,253.0244140625,0.9765625
44,0.0126953125,253.3330078125,0.978515625
45,0.0224609375,252.6279296875,0.9736328125
46,0.0146484375,253.6591796875,0.9814453125
47,0.005859375,254.943359375,0.990234375
48,0.001953125,254.8564453125,0.990234375
49,0.0029296875,254.560546875,0.98828125
50,0.005859375,255.0478515625,0.990234375
51,0.0244140625,251.7041015625,0.96484375
52,0.029296875,252.16796875,0.966796875
53,0.0341796875,250.5439453125,0.958984375
54,0.0078125,253.88671875,0.986328125
55,0.0,255.89453125,0.9990234375
56,0.0,255.6669921875,0.998046875
57,0.0,254.646484375,0.9892578125
58,0.0,254.9609375,0.9951171875
59,0.0,255.5,0.9970703125
60,0.0,255.3623046875,0.9970703125
61,0.0,254.40234375,0.98828125
62,0.0,254.1806640625,0.9892578125
63,0.0,254.169921875,0.98828125
64,0.0,254.8828125,0.9912109375
65,0.0,254.685546875,0.9912109375
66,0.0,254.802734375,0.9921875
67,0.0,255.029296875,0.990234375
68,0.0,254.4775390625,0.990234375
69,0.0,254.654296875,0.9931640625
70,0.0,255.2822265625,0.9951171875
